,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,dependency_length,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,predicted_words
0,A niece of most senators hasn't descended most slopes.,A niece of most senators haven't descended most slopes.,A niece of most senators,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,0,comedy
1,The sketch of those trucks hasn't hurt Alan.,The sketch of those trucks haven't hurt Alan.,The sketch of those trucks,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,1,pet
2,A newspaper article about the Borgias has disagreed with Marcus.,A newspaper article about the Borgias have disagreed with Marcus.,A newspaper article about the Borgias,has,have,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,2,estimated
3,The niece of most guests has cleaned every college campus.,The niece of most guests have cleaned every college campus.,The niece of most guests,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,3,behind
4,A sketch of lights doesn't appear.,A sketch of lights don't appear.,A sketch of lights,doesn't,don't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,4,favour
5,The movies about Galileo were astounding Melanie.,The movies about Galileo was astounding Melanie.,The movies about Galileo,were,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,5,priest
6,A cousin of a lot of dancers anticipates Naomi to aggravate Angela.,A cousin of a lot of dancers anticipate Naomi to aggravate Angela.,A cousin of a lot of dancers,anticipates,anticipate,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,6,t
7,A movie about the Impressionists hasn't scared Harvard University.,A movie about the Impressionists haven't scared Harvard University.,A movie about the Impressionists,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,7,favour
8,The pamphlets about Galileo are winning.,The pamphlets about Galileo is winning.,The pamphlets about Galileo,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,8,priest
9,The daughter of those senators works with Patrick.,The daughter of those senators work with Patrick.,The daughter of those senators,works with,work with,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,9,priest
10,A story about the Balkans doesn't irritate a person.,A story about the Balkans don't irritate a person.,A story about the Balkans,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,10,ˈ
11,The sisters of Timothy judge Randolf to weep.,The sisters of Timothy judges Randolf to weep.,The sisters of Timothy,judge,judges,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,11,[unknown]
12,The daughter of the Lutherans hasn't argued about that waitress.,The daughter of the Lutherans haven't argued about that waitress.,The daughter of the Lutherans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,12,makeup
13,A nephew of senators is wanting to murmur.,A nephew of senators were wanting to murmur.,A nephew of senators,is,were,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,13,yourself
14,The prints of that high school are impressing Helen.,The prints of that high school was impressing Helen.,The prints of that high school,are,was,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,14,alabama
