,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,predicted_words
0,Amanda was respected by some waitresses.,Amanda was respected by some picture.,Amanda was respected by some,waitresses,picture,syntax,s-selection,animate_subject_passive,True,True,False,False,0,歌
1,Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,Some lake was passed by some,cashiers,phenomena,syntax,s-selection,animate_subject_passive,True,True,False,False,1,warsaw
2,Lisa was kissed by the boys.,Lisa was kissed by the blouses.,Lisa was kissed by the,boys,blouses,syntax,s-selection,animate_subject_passive,True,True,False,False,2,pastor
3,Amanda isn't respected by the children.,Amanda isn't respected by the cups.,Amanda isn't respected by the,children,cups,syntax,s-selection,animate_subject_passive,True,True,False,False,3,silver
4,The glove was noticed by some woman.,The glove was noticed by some mouse.,The glove was noticed by some,woman,mouse,syntax,s-selection,animate_subject_passive,True,True,False,False,4,þ
5,Gerald is hated by the teachers.,Gerald is hated by the pie.,Gerald is hated by the,teachers,pie,syntax,s-selection,animate_subject_passive,True,True,False,False,5,rises
6,Most actresses weren't discussed by some offspring.,Most actresses weren't discussed by some ladder.,Most actresses weren't discussed by some,offspring,ladder,syntax,s-selection,animate_subject_passive,True,True,False,False,6,ery
7,These students were talked about by the teacher.,These students were talked about by the books.,These students were talked about by the,teacher,books,syntax,s-selection,animate_subject_passive,True,True,False,False,7,[unknown]
8,Deborah was talked to by the teacher.,Deborah was talked to by the ellipses.,Deborah was talked to by the,teacher,ellipses,syntax,s-selection,animate_subject_passive,True,True,False,False,8,pastor
9,Cafes were cleaned by some lady.,Cafes were cleaned by some hat.,Cafes were cleaned by some,lady,hat,syntax,s-selection,animate_subject_passive,True,True,False,False,9,ウ
10,Patricia is referenced by some offspring.,Patricia is referenced by some shawl.,Patricia is referenced by some,offspring,shawl,syntax,s-selection,animate_subject_passive,True,True,False,False,10,rises
11,Galileo is concealed by the woman.,Galileo is concealed by the horse.,Galileo is concealed by the,woman,horse,syntax,s-selection,animate_subject_passive,True,True,False,False,11,rises
12,A lot of high schools aren't visited by some teachers.,A lot of high schools aren't visited by some socks.,A lot of high schools aren't visited by some,teachers,socks,syntax,s-selection,animate_subject_passive,True,True,False,False,12,understand
13,Andrew was questioned by some pedestrian.,Andrew was questioned by some apple.,Andrew was questioned by some,pedestrian,apple,syntax,s-selection,animate_subject_passive,True,True,False,False,13,rises
14,A lot of computers aren't bought by the senators.,A lot of computers aren't bought by the gate.,A lot of computers aren't bought by the,senators,gate,syntax,s-selection,animate_subject_passive,True,True,False,False,14,歌
15,Those schools are cleaned by the customers.,Those schools are cleaned by the socks.,Those schools are cleaned by the,customers,socks,syntax,s-selection,animate_subject_passive,True,True,False,False,15,geneva
16,Chad wasn't forgotten by the teacher.,Chad wasn't forgotten by the brochure.,Chad wasn't forgotten by the,teacher,brochure,syntax,s-selection,animate_subject_passive,True,True,False,False,16,throat
17,Deanna was hired by the offspring.,Deanna was hired by the candles.,Deanna was hired by the,offspring,candles,syntax,s-selection,animate_subject_passive,True,True,False,False,17,access
18,Lisa wasn't cured by the ladies.,Lisa wasn't cured by the deer.,Lisa wasn't cured by the,ladies,deer,syntax,s-selection,animate_subject_passive,True,True,False,False,18,te
19,Valerie was hugged by the pedestrian.,Valerie was hugged by the diagnoses.,Valerie was hugged by the,pedestrian,diagnoses,syntax,s-selection,animate_subject_passive,True,True,False,False,19,[unknown]
20,Nina isn't escaped from by some customer.,Nina isn't escaped from by some movies.,Nina isn't escaped from by some,customer,movies,syntax,s-selection,animate_subject_passive,True,True,False,False,20,outcome
21,A lot of mountains were ascended by the customer.,A lot of mountains were ascended by the dog.,A lot of mountains were ascended by the,customer,dog,syntax,s-selection,animate_subject_passive,True,True,False,False,21,june
22,Tamara was praised by some waitress.,Tamara was praised by some cups.,Tamara was praised by some,waitress,cups,syntax,s-selection,animate_subject_passive,True,True,False,False,22,歌
23,William is discovered by some students.,William is discovered by some pie.,William is discovered by some,students,pie,syntax,s-selection,animate_subject_passive,True,True,False,False,23,inaugural
24,Mitchell was remembered by some men.,Mitchell was remembered by some jacket.,Mitchell was remembered by some,men,jacket,syntax,s-selection,animate_subject_passive,True,True,False,False,24,ₑ
25,Rachel isn't investigated by the dancer.,Rachel isn't investigated by the books.,Rachel isn't investigated by the,dancer,books,syntax,s-selection,animate_subject_passive,True,True,False,False,25,note
26,Grace was returned to by some cashiers.,Grace was returned to by some theses.,Grace was returned to by some,cashiers,theses,syntax,s-selection,animate_subject_passive,True,True,False,False,26,歌
27,Michael is loved by some offspring.,Michael is loved by some bicycle.,Michael is loved by some,offspring,bicycle,syntax,s-selection,animate_subject_passive,True,True,False,False,27,recorded
28,Nancy wasn't attacked by some actor.,Nancy wasn't attacked by some screens.,Nancy wasn't attacked by some,actor,screens,syntax,s-selection,animate_subject_passive,True,True,False,False,28,lucy
29,That company wasn't questioned by the customer.,That company wasn't questioned by the face.,That company wasn't questioned by the,customer,face,syntax,s-selection,animate_subject_passive,True,True,False,False,29,della
30,Jill isn't returned to by the doctors.,Jill isn't returned to by the sock.,Jill isn't returned to by the,doctors,sock,syntax,s-selection,animate_subject_passive,True,True,False,False,30,june
31,Ruth was listened to by the senator.,Ruth was listened to by the phenomena.,Ruth was listened to by the,senator,phenomena,syntax,s-selection,animate_subject_passive,True,True,False,False,31,[unknown]
32,Sabrina was listened to by some adult.,Sabrina was listened to by some organization.,Sabrina was listened to by some,adult,organization,syntax,s-selection,animate_subject_passive,True,True,False,False,32,[unknown]
33,That library was toured by the dancers.,That library was toured by the apples.,That library was toured by the,dancers,apples,syntax,s-selection,animate_subject_passive,True,True,False,False,33,aged
34,Rose isn't seen by the waiters.,Rose isn't seen by the spotlights.,Rose isn't seen by the,waiters,spotlights,syntax,s-selection,animate_subject_passive,True,True,False,False,34,kent
35,All closets were bought by the patient.,All closets were bought by the peppers.,All closets were bought by the,patient,peppers,syntax,s-selection,animate_subject_passive,True,True,False,False,35,schedule
36,Randolf was cared for by the waiter.,Randolf was cared for by the drawing.,Randolf was cared for by the,waiter,drawing,syntax,s-selection,animate_subject_passive,True,True,False,False,36,comprehensive
